house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
"2 BHK House for Rent in Bcc Layout, Deepanjali Nagar Bangalore",Bcc Layout,Bengaluru,600.0,2,2,0,Unfurnished,33.0,20000.0,33.33
2 BHK House for Rent in BDA Lay Out Chandra Layout Bangalore,Bda Lay Out Chandra Layout,Bengaluru,750.0,2,2,0,Semi-Furnished,20.0,15000.0,20.0
"2 BHK Flat for Rent in BDA Layout HSR Layout, Bangalore",Bda Layout-HSR Layout,Bengaluru,1200.0,2,2,2,Semi-Furnished,29.0,35000.0,29.17
"1 BHK Flat for Rent in Begur, Bangalore",Begur,Bengaluru,450.0,1,1,0,Semi-Furnished,22.0,10000.0,22.22
"1 BHK Flat for Rent in Begur, Bangalore",Begur,Bengaluru,470.0,1,1,2,Semi-Furnished,64.0,30000.0,63.83
"2 BHK Flat for Rent in Begur, Bangalore",Begur,Bengaluru,905.0,2,2,2,Semi-Furnished,46.0,42000.0,46.41
"2 BHK Flat for Rent in Begur, Bangalore",Begur,Bengaluru,930.0,2,2,0,Semi-Furnished,45.0,42000.0,45.16
"3 BHK Flat for Rent in Begur Hulimavu Road, Bangalore",Begur Hulimavu Road,Bengaluru,1450.0,3,2,3,Furnished,22.0,32000.0,22.07
"2 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bengaluru,891.0,2,2,0,Semi-Furnished,46.0,41000.0,46.02
"2 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bengaluru,900.0,2,2,0,Unfurnished,47.0,42000.0,46.67
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bengaluru,1403.0,3,4,2,Unfurnished,39.0,55000.0,39.2
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bengaluru,1860.0,3,3,3,Unfurnished,30.0,56000.0,30.11
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bengaluru,1631.0,3,2,2,Semi-Furnished,36.0,58000.0,35.56
"2 BHK House for Rent in Bellandur, Outer Ring Road Bangalore",Bellandur,Bengaluru,1200.0,2,2,0,Semi-Furnished,28.0,33000.0,27.5
